route_id,route_short_name,route_long_name,route_type,agency_id
0,,IC 2376,2,DPN
1,,IC 2371,2,DPN
2,,IC 2375,2,DPN
3,,IC 2276,2,DPN
4,,IC 2274,2,DPN
5,,IC 2272,2,DPN
6,,IC 2273,2,DPN
7,,IC 2271,2,DPN
8,,IC 2378,2,DPN
9,,IC 2277,2,DPN
10,,IC 2372,2,DPN
11,,IC 2377,2,DPN
12,,IC 2379,2,DPN
13,,IC 2172,2,DPN
14,,IC 2171,2,DPN
15,,IC 2039,2,DPN
16,,IC 2201,2,DPN
17,,IC 2203,2,DPN
18,,IC 2205,2,DPN
19,,IC 2435,2,DPN
20,,IC 2209,2,DPN
21,,IC 2037,2,DPN
22,,IC 2537,2,DPN
23,,IC 2539,2,DPN
24,,IC 2503,2,DPN
25,,IC 2505,2,DPN
26,,IC 2545,2,DPN
27,,IC 2547,2,DPN
28,,IC 2549,2,DPN
29,,IC 2551,2,DPN
30,,IC 2509,2,DPN
31,,IC 2019,2,DPN
32,,IC 2420,2,DPN
33,,ICE 372,2,SBB
34,,ICE 278,2,SBB
35,,EC 6,2,SBB
36,,ICE 275,2,SBB
37,,ICE 376,2,SBB
38,,EC 7,2,SBB
39,,ICE 371,2,SBB
40,,ICE 373,2,SBB
41,,ICE 396,2,SBB
42,,IC 118,2,DPN
43,,IC 119,2,DPN
44,,RJ 1286,2,DPN
45,,ICE 827,2,DPN
46,,ICE 521,2,DPN
47,,ICE 1018,2,DPN
48,,ICE 1125,2,DPN
49,,ICE 214,2,DPN
50,,ICE 621,2,DPN
51,,ICE 16,2,DPN
52,,ICE 625,2,DPN
53,,ICE 1122,2,DPN
54,,ICE 629,2,DPN
55,,ICE 816,2,DPN
56,,ICE 817,2,DPN
57,,ICE 17,2,DPN
58,,ICE 1124,2,DPN
59,,ICE 812,2,DPN
60,,ICE 911,2,DPN
61,,ICE 620,2,DPN
62,,ICE 821,2,DPN
63,,ICE 810,2,DPN
64,,ICE 605,2,DPN
65,,ICE 524,2,DPN
66,,ICE 619,2,DPN
67,,ICE 522,2,DPN
68,,ICE 523,2,DPN
69,,ICE 618,2,DPN
70,,ICE 712,2,DPN
71,,ICE 711,2,DPN
72,,ICE 811,2,DPN
73,,ICE 1223,2,DPN
74,,ICE 813,2,DPN
75,,ICE 815,2,DPN
76,,ICE 820,2,DPN
77,,ICE 726,2,DPN
78,,ICE 818,2,DPN
79,,ICE 12,2,DPN
80,,ICE 122,2,DPN
81,,ICE 1127,2,DPN
82,,ICE 501,2,DPN
83,,ICE 503,2,DPN
84,,ICE 507,2,DPN
85,,ICE 600,2,DPN
86,,ICE 751,2,DPN
87,,ICE 796,2,DPN
88,,ICE 755,2,DPN
89,,ICE 792,2,DPN
90,,ICE 759,2,DPN
91,,ICE 754,2,DPN
92,,ICE 750,2,DPN
93,,ICE 925,2,DPN
94,,ICE 601,2,DPN
95,,ICE 734,2,DPN
96,,ICE 502,2,DPN
97,,ICE 152,2,DPN
98,,ICE 819,2,DPN
99,,ICE 1118,2,DPN
100,,ICE 1218,2,DPN
101,,ICE 1021,2,DPN
102,,ICE 9571,2,DPN
103,,TGV 9551,2,DPN
104,,ICE 9573,2,DPN
105,,ICE 9553,2,DPN
106,,TGV 9575,2,DPN
107,,ICE 9563,2,DPN
108,,TGV 9577,2,DPN
109,,ICE 9555,2,DPN
110,,TGV 9579,2,DPN
111,,ICE 9557,2,DPN
112,,TGV 9561,2,DPN
113,,TGV 9593,2,DPN
114,,TGV 9559,2,DPN
115,,EN 24,2,DPN
116,,DZ 13460,2,DPN
117,,DZ 13543,2,DPN
118,,EN 453,2,DPN
119,,IC 2204,2,DPN
120,,IC 2202,2,DPN
121,,IC 2200,2,DPN
122,,IC 2207,2,DPN
123,,IC 2004,2,DPN
124,,IC 2002,2,DPN
125,,IC 2005,2,DPN
126,,IC 2009,2,DPN
127,,IC 2206,2,DPN
128,,IC 2014,2,DPN
129,,IC 2208,2,DPN
130,,IC 2006,2,DPN
131,,ICE 9568,2,DPN
132,,TGV 9576,2,DPN
133,,ICE 9574,2,DPN
134,,ICE 9572,2,DPN
135,,TGV 9560,2,DPN
136,,TGV 9570,2,DPN
137,,TGV 9578,2,DPN
138,,ICE 9566,2,DPN
139,,TGV 9592,2,DPN
140,,IC 284,2,SBB
141,,IC 282,2,SBB
142,,IC 181,2,SBB
143,,IC 280,2,SBB
144,,IC 183,2,SBB
145,,IC 186,2,SBB
146,,IC 185,2,SBB
147,,IC 184,2,SBB
148,,IC 187,2,SBB
149,,IC 182,2,SBB
150,,IC 281,2,SBB
151,,IC 180,2,SBB
152,,IC 283,2,SBB
153,,IC 285,2,SBB
154,,ICE 529,2,DPN
155,,ICE 623,2,DPN
156,,ICE 728,2,DPN
157,,ICE 627,2,DPN
158,,ICE 724,2,DPN
159,,ICE 641,2,DPN
160,,ICE 721,2,DPN
161,,ICE 915,2,DPN
162,,ICE 720,2,DPN
163,,ICE 943,2,DPN
164,,ICE 723,2,DPN
165,,ICE 628,2,DPN
166,,ICE 643,2,DPN
167,,ICE 725,2,DPN
168,,ICE 917,2,DPN
169,,ICE 626,2,DPN
170,,ICE 945,2,DPN
171,,ICE 1228,2,DPN
172,,ICE 727,2,DPN
173,,ICE 624,2,DPN
174,,ICE 645,2,DPN
175,,ICE 729,2,DPN
176,,ICE 622,2,DPN
177,,ICE 947,2,DPN
178,,ICE 912,2,DPN
179,,ICE 528,2,DPN
180,,ICE 526,2,DPN
181,,ICE 525,2,DPN
182,,ICE 913,2,DPN
183,,ICE 845,2,DPN
184,,ICE 527,2,DPN
185,,ICE 824,2,DPN
186,,ICE 822,2,DPN
187,,ICE 916,2,DPN
188,,ICE 914,2,DPN
189,,ICE 101,2,DPN
190,,ICE 513,2,DPN
191,,ICE 616,2,DPN
192,,ICE 220,2,DPN
193,,ICE 515,2,DPN
194,,ICE 614,2,DPN
195,,ICE 128,2,DPN
196,,ICE 105,2,DPN
197,,IC 2216,2,DPN
198,,ICE 517,2,DPN
199,,ICE 612,2,DPN
200,,ICE 722,2,DPN
201,,ICE 735,2,DPN
202,,ICE 509,2,DPN
203,,ICE 602,2,DPN
204,,ICE 753,2,DPN
205,,ICE 798,2,DPN
206,,ICE 757,2,DPN
207,,ICE 794,2,DPN
208,,ICE 791,2,DPN
209,,ICE 790,2,DPN
210,,ICE 793,2,DPN
211,,ICE 758,2,DPN
212,,ICE 795,2,DPN
213,,ICE 756,2,DPN
214,,ICE 797,2,DPN
215,,ICE 799,2,DPN
216,,ICE 752,2,DPN
217,,EC 288,2,DPN
218,,EC 1289,2,DPN
219,,EC 85,2,DPN
220,,EC 286,2,DPN
221,,EC 87,2,DPN
222,,EC 88,2,DPN
223,,EC 89,2,DPN
224,,EC 80,2,DPN
225,,EC 83,2,DPN
226,,EC 84,2,DPN
227,,EC 287,2,DPN
228,,EC 86,2,DPN
229,,EC 289,2,DPN
230,,EC 82,2,DPN
231,,EN 40420,2,DPN
232,,EN 420,2,DPN
233,,EN 40491,2,DPN
234,,EN 421,2,DPN
235,,EC 81,2,DPN
236,,EC 1288,2,DPN
237,,IC 1283,2,DPN
238,,IC 1282,2,DPN
239,,IC 1281,2,DPN
240,,IC 1284,2,DPN
241,,IC 1285,2,DPN
242,,IC 1280,2,DPN
243,,RJ 1287,2,DPN
244,,EC 390,2,DPN
245,,RJ 265,2,DPN
246,,RJ 260,2,DPN
247,,RJ 61,2,DPN
248,,EC 218,2,DPN
249,,RJ 111,2,DPN
250,,RJ 262,2,DPN
251,,RJ 63,2,DPN
252,,EC 114,2,DPN
253,,EC 217,2,DPN
254,,RJ 60,2,DPN
255,,RJ 65,2,DPN
256,,EC 112,2,DPN
257,,EC 113,2,DPN
258,,RJ 62,2,DPN
259,,RJ 67,2,DPN
260,,EC 216,2,DPN
261,,EC 115,2,DPN
262,,RJ 64,2,DPN
263,,RJ 69,2,DPN
264,,EC 219,2,DPN
265,,RJ 66,2,DPN
266,,RJ 261,2,DPN
267,,RJ 110,2,DPN
268,,EC 117,2,DPN
269,,RJ 68,2,DPN
270,,EN 40295,2,DPN
271,,EN 295,2,DPN
272,,EN 40463,2,DPN
273,,EN 50463,2,DPN
274,,EN 60463,2,DPN
275,,EN 463,2,DPN
276,,EN 40236,2,DPN
277,,EN 462,2,DPN
278,,IC 1296,2,DPN
279,,EN 40235,2,DPN
280,,EN 294,2,DPN
281,,IC 1268,2,DPN
282,,IC 1216,2,DPN
283,,EN 498,2,DPN
284,,EN 40490,2,DPN
285,,EN 490,2,DPN
286,,ICE 228,2,DPN
287,,ICE 28,2,DPN
288,,ICE 26,2,DPN
289,,ICE 21,2,DPN
290,,ICE 90,2,DPN
291,,ICE 23,2,DPN
292,,ICE 22,2,DPN
293,,ICE 91,2,DPN
294,,ICE 20,2,DPN
295,,ICE 27,2,DPN
296,,ICE 29,2,DPN
297,,ICE 229,2,DPN
298,,EN 40421,2,DPN
299,,EN 491,2,DPN
300,,ICE 1128,2,DPN
301,,ICE 1026,2,DPN
302,,ICE 1023,2,DPN
303,,ICE 1022,2,DPN
304,,ICE 1027,2,DPN
305,,ICE 1129,2,DPN
306,,ICE 1005,2,DPN
307,,ICE 1614,2,DPN
308,,ICE 1207,2,DPN
309,,ICE 1512,2,DPN
310,,IC 2355,2,DPN
311,,IC 2300,2,DPN
312,,ICE 1509,2,DPN
313,,ICE 1510,2,DPN
314,,ICE 1609,2,DPN
315,,ICE 1610,2,DPN
316,,ICE 1511,2,DPN
317,,ICE 1508,2,DPN
318,,IC 2301,2,DPN
319,,IC 2356,2,DPN
320,,ICE 1513,2,DPN
321,,ICE 1206,2,DPN
322,,IC 2303,2,DPN
323,,ICE 704,2,DPN
324,,ICE 1515,2,DPN
325,,ICE 1715,2,DPN
326,,ICE 1504,2,DPN
327,,ICE 1615,2,DPN
328,,ICE 1604,2,DPN
329,,ICE 1517,2,DPN
330,,ICE 1002,2,DPN
331,,ICE 1500,2,DPN
332,,ICE 1531,2,DPN
333,,ICE 1503,2,DPN
334,,ICE 715,2,DPN
335,,ICE 1616,2,DPN
336,,ICE 1505,2,DPN
337,,ICE 1514,2,DPN
338,,IC 2304,2,DPN
339,,ICE 705,2,DPN
340,,ICE 1524,2,DPN
341,,ICE 1613,2,DPN
342,,ICE 804,2,DPN
343,,EC 1217,2,DPN
344,,IC 2063,2,DPN
345,,IC 2160,2,DPN
346,,IC 2065,2,DPN
347,,IC 2068,2,DPN
348,,IC 2067,2,DPN
349,,IC 2066,2,DPN
350,,IC 2069,2,DPN
351,,IC 2064,2,DPN
352,,IC 2161,2,DPN
353,,IC 2062,2,DPN
354,,IC 2163,2,DPN
355,,IC 2060,2,DPN
356,,IC 2164,2,DPN
357,,IC 2061,2,DPN
358,,IC 2162,2,DPN
359,,IC 2165,2,DPN
360,,IC 2431,2,DPN
361,,IC 2305,2,DPN
362,,IC 2434,2,DPN
363,,IC 2432,2,DPN
364,,IC 2433,2,DPN
365,,IC 2437,2,DPN
366,,IC 2036,2,DPN
367,,IC 2439,2,DPN
368,,IC 2034,2,DPN
369,,IC 2033,2,DPN
370,,IC 2035,2,DPN
371,,IC 2438,2,DPN
372,,IC 2550,2,DPN
373,,IC 2538,2,DPN
374,,IC 2546,2,DPN
375,,IC 2506,2,DPN
376,,IC 2532,2,DPN
377,,IC 2502,2,DPN
378,,IC 2500,2,DPN
379,,IC 2536,2,DPN
380,,IC 2534,2,DPN
381,,IC 2306,2,DPN
382,,IC 2018,2,DPN
383,,EC 191,2,SBB
384,,EC 196,2,SBB
385,,EC 193,2,SBB
386,,EC 195,2,SBB
387,,EC 194,2,SBB
388,,EC 192,2,SBB
389,,EC 197,2,SBB
390,,EC 190,2,SBB
391,,IC 2082,2,DPN
392,,RE 2083,2,DPN
393,,IC 1269,2,DPN
394,,EC 391,2,DPN
395,,IC 2425,2,DPN
396,,IC 2424,2,DPN
397,,IC 2427,2,DPN
398,,IC 1924,2,DPN
399,,IC 2429,2,DPN
400,,IC 2428,2,DPN
401,,IC 2325,2,DPN
402,,IC 2426,2,DPN
403,,IC 1970,2,DPN
404,,IC 1932,2,DPN
405,,IC 2423,2,DPN
406,,IC 2174,2,DPN
407,,IC 2189,2,DPN
408,,IC 2238,2,DPN
409,,IC 2239,2,DPN
410,,IC 2182,2,DPN
411,,IC 2373,2,DPN
412,,IC 1989,2,DPN
413,,IC 2270,2,DPN
414,,IC 2279,2,DPN
415,,IC 2188,2,DPN
416,,IC 2404,2,DPN
417,,IC 2184,2,DPN
418,,EC 178,2,DPN
419,,EC 171,2,DPN
420,,EC 176,2,DPN
421,,EC 173,2,DPN
422,,EC 174,2,DPN
423,,EC 379,2,DPN
424,,EC 378,2,DPN
425,,EC 175,2,DPN
426,,EC 172,2,DPN
427,,EC 177,2,DPN
428,,EC 170,2,DPN
429,,EC 179,2,DPN
430,,EC 258,2,DPN
431,,EC 259,2,DPN
432,,ICE 538,2,DPN
433,,ICE 583,2,DPN
434,,ICE 732,2,DPN
435,,IC 5722,2,DPN
436,,IC 5729,2,DPN
437,,IC 5720,2,DPN
438,,IC 5737,2,DPN
439,,IC 1183,2,DPN
440,,IC 5736,2,DPN
441,,IC 5753,2,DPN
442,,IC 1185,2,DPN
443,,IC 5752,2,DPN
444,,IC 5769,2,DPN
445,,IC 5760,2,DPN
446,,IC 5727,2,DPN
447,,IC 5768,2,DPN
448,,IC 5745,2,DPN
449,,IC 5744,2,DPN
450,,IC 5721,2,DPN
451,,IC 383,2,DPN
452,,IC 386,2,DPN
453,,IC 385,2,DPN
454,,IC 384,2,DPN
455,,IC 231,2,DPN
456,,IC 387,2,DPN
457,,IC 382,2,DPN
458,,IC 1187,2,DPN
459,,IC 230,2,DPN
460,,IC 1130,2,DPN
461,,IC 1131,2,DPN
462,,IC 2213,2,DPN
463,,ICE 1731,2,DPN
464,,ICE 1536,2,DPN
465,,IC 447,2,DPN
466,,IC 446,2,DPN
467,,IC 2422,2,DPN
468,,ICE 1000,2,DPN
469,,ICE 985,2,DPN
470,,ICE 1501,2,DPN
471,,ICE 1617,2,DPN
472,,ICE 1012,2,DPN
473,,ICE 906,2,DPN
474,,IC 1934,2,DPN
475,,ICE 1717,2,DPN
476,,ICE 903,2,DPN
477,,ICE 805,2,DPN
478,,EN 470,2,DPN
479,,ICE 1618,2,DPN
480,,ICE 908,2,DPN
481,,IC 1933,2,DPN
482,,IC 1949,2,DPN
483,,ICE 1701,2,DPN
484,,IC 1950,2,DPN
485,,EN 30470,2,SBB
486,,ICE 1633,2,DPN
487,,ICE 1636,2,DPN
488,,ICE 1734,2,DPN
489,,ICE 1533,2,DPN
490,,ICE 1632,2,DPN
491,,ICE 1735,2,DPN
492,,ICE 1630,2,DPN
493,,ICE 1537,2,DPN
494,,ICE 1634,2,DPN
495,,IC 1937,2,DPN
496,,ICE 1535,2,DPN
497,,ICE 1538,2,DPN
498,,IC 1952,2,DPN
499,,ICE 1539,2,DPN
500,,IC 2447,2,DPN
501,,IC 2046,2,DPN
502,,IC 2445,2,DPN
503,,IC 2048,2,DPN
504,,IC 2443,2,DPN
505,,IC 2440,2,DPN
506,,IC 2441,2,DPN
507,,IC 2442,2,DPN
