trip_id,arrival_time,departure_time,stop_id,stop_sequence
0,07:02:00,07:02:00,8000191,0
0,07:07:00,07:09:00,8003184,1
0,07:22:00,07:24:00,8000055,2
0,07:34:00,07:36:00,8006421,3
0,07:44:00,07:46:00,8000156,4
0,07:59:00,08:00:00,8000377,5
0,08:08:00,08:09:00,8000031,6
0,08:22:00,08:24:00,8000068,7
0,08:40:00,08:42:00,8002041,8
0,09:14:00,09:16:00,8000111,9
0,09:33:00,09:35:00,8000124,10
0,09:49:00,09:51:00,8000337,11
0,10:03:00,10:05:00,8005661,12
0,10:16:00,10:18:00,8000129,13
0,10:53:00,10:55:00,8003200,14
0,11:15:00,11:17:00,8000128,15
0,11:56:00,11:59:00,8000152,16
0,12:17:00,12:19:00,8000064,17
0,12:40:00,12:42:00,8000168,18
0,12:57:00,12:59:00,8000238,19
0,13:16:00,13:18:00,8000147,20
0,13:28:00,13:44:00,8002549,21
0,14:35:00,14:37:00,8010324,22
0,15:09:00,15:11:00,8010066,23
0,15:32:00,15:38:00,8010304,24
0,15:58:00,16:00:00,8012763,25
0,16:14:00,16:16:00,8010355,26
0,16:30:00,16:30:00,8010338,27
1,10:13:00,10:13:00,8002553,0
1,10:19:00,10:21:00,8002548,1
1,10:24:00,10:28:00,8002549,2
1,10:38:00,10:40:00,8000147,3
1,10:57:00,10:59:00,8000238,4
1,11:13:00,11:15:00,8000168,5
1,11:37:00,11:39:00,8000064,6
1,11:58:00,12:01:00,8000152,7
1,12:38:00,12:40:00,8000128,8
1,13:01:00,13:03:00,8003200,9
1,13:35:00,13:37:00,8000129,10
1,13:48:00,13:50:00,8005661,11
1,14:03:00,14:05:00,8000337,12
1,14:21:00,14:23:00,8000124,13
1,14:40:00,14:42:00,8000111,14
1,15:13:00,15:15:00,8002041,15
1,16:12:00,16:14:00,8000156,16
1,16:22:00,16:24:00,8006421,17
1,16:34:00,16:36:00,8000055,18
1,16:50:00,16:50:00,8000191,19
2,10:56:00,10:56:00,8006369,0
2,11:29:00,11:45:00,8004343,1
2,12:10:00,12:12:00,8000181,2
2,12:33:00,12:35:00,8000155,3
2,13:10:00,13:26:00,8003102,4
2,14:19:00,14:21:00,8002548,5
2,14:24:00,14:28:00,8002549,6
2,14:38:00,14:40:00,8000147,7
2,14:57:00,14:59:00,8000238,8
2,15:13:00,15:15:00,8000168,9
2,15:37:00,15:39:00,8000064,10
2,15:58:00,16:01:00,8000152,11
2,16:39:00,16:41:00,8000128,12
2,17:01:00,17:03:00,8003200,13
2,17:35:00,17:37:00,8000129,14
2,17:48:00,17:50:00,8005661,15
2,18:03:00,18:05:00,8000337,16
2,18:21:00,18:23:00,8000124,17
2,18:40:00,18:42:00,8000111,18
2,19:14:00,19:16:00,8002041,19
2,20:12:00,20:14:00,8000156,20
2,20:22:00,20:23:00,8006421,21
2,20:36:00,20:38:00,8000055,22
2,20:47:00,20:49:00,8003184,23
2,20:54:00,20:54:00,8000191,24
3,15:10:00,15:10:00,8000191,0
3,15:22:00,15:24:00,8000055,1
3,15:33:00,15:35:00,8006421,2
3,15:44:00,15:46:00,8000156,3
3,15:59:00,16:00:00,8000377,4
3,16:08:00,16:09:00,8000031,5
3,16:22:00,16:24:00,8000068,6
3,16:40:00,16:42:00,8002041,7
3,17:14:00,17:16:00,8000111,8
3,17:33:00,17:35:00,8000124,9
3,17:49:00,17:51:00,8000337,10
3,18:03:00,18:05:00,8005661,11
3,18:16:00,18:18:00,8000129,12
3,18:33:00,18:35:00,8000368,13
3,18:55:00,18:57:00,8003200,14
3,19:16:00,19:18:00,8000128,15
3,19:56:00,19:59:00,8000152,16
3,20:17:00,20:19:00,8000064,17
3,20:40:00,20:42:00,8000168,18
3,20:56:00,20:58:00,8000238,19
3,21:16:00,21:18:00,8000147,20
3,21:28:00,21:32:00,8002549,21
3,21:35:00,21:37:00,8002548,22
3,21:44:00,21:44:00,8002553,23
4,17:10:00,17:10:00,8000191,0
4,17:22:00,17:24:00,8000055,1
4,17:33:00,17:35:00,8006421,2
4,17:44:00,17:46:00,8000156,3
4,17:59:00,18:00:00,8000377,4
4,18:08:00,18:09:00,8000031,5
4,18:22:00,18:24:00,8000068,6
4,18:40:00,18:42:00,8002041,7
4,19:14:00,19:16:00,8000111,8
4,19:33:00,19:35:00,8000124,9
4,19:49:00,19:51:00,8000337,10
4,20:03:00,20:05:00,8005661,11
4,20:16:00,20:18:00,8000129,12
4,20:53:00,20:55:00,8003200,13
4,21:16:00,21:18:00,8000128,14
4,21:56:00,21:59:00,8000152,15
4,22:17:00,22:19:00,8000064,16
4,22:40:00,22:42:00,8000168,17
4,22:56:00,22:58:00,8000238,18
4,23:16:00,23:18:00,8000147,19
4,23:28:00,23:32:00,8002549,20
4,23:35:00,23:37:00,8002548,21
4,23:44:00,23:44:00,8002553,22
5,19:10:00,19:10:00,8000191,0
5,19:22:00,19:24:00,8000055,1
5,19:34:00,19:36:00,8006421,2
5,19:44:00,19:46:00,8000156,3
5,19:59:00,20:00:00,8000377,4
5,20:08:00,20:09:00,8000031,5
5,20:22:00,20:24:00,8000068,6
5,20:40:00,20:52:00,8000105,7
5,21:14:00,21:16:00,8000111,8
5,21:33:00,21:35:00,8000124,9
5,21:49:00,21:51:00,8000337,10
5,22:03:00,22:05:00,8005661,11
5,22:16:00,22:18:00,8000129,12
5,22:56:00,22:56:00,8003200,13
6,04:59:00,04:59:00,8003200,0
6,05:18:00,05:20:00,8000368,1
6,05:35:00,05:37:00,8000129,2
6,05:48:00,05:50:00,8005661,3
6,06:03:00,06:05:00,8000337,4
6,06:21:00,06:23:00,8000124,5
6,06:40:00,06:42:00,8000111,6
6,06:59:00,07:01:00,8002042,7
6,07:08:00,07:14:00,8000105,8
6,07:29:00,07:31:00,8000068,9
