stop_id,stop_name,stop_lat,stop_lon
8005644,St Georgen(Schwarzw),48.123814,8.341953
8005661,Stadtallendorf,50.825432,9.015281
8005662,Stadthagen,52.332833,9.189429
8300580,Castiglione del Lago,43.122854,12.032484
8601645,Naestved st,55.231872,11.766924
8300601,Lonigo,45.413252,11.34506
8002570,Hammerau,47.795878,12.946129
8300615,Vernio-Montepiano-Cantagallo,44.043646,11.152368
8300556,Abano Terme,45.355262,11.811565
8300618,Camucia-Cortona,43.261692,11.970889
8004669,Oldenburg(Holst),54.283825,10.882835
8300628,Codroipo,45.96572,12.976728
8007768,Norddeich Mole,53.624313,7.158802
8300633,Susegana,45.821272,12.258697
8300634,Spresiano,45.777791,12.266913
8507483,Spiez,46.686394,7.680095
8300636,Mogliano Veneto,45.561906,12.232835
8300638,S.Stino di Livenza,45.721006,12.681999
8100197,Feldkirch,47.240974,9.604102
8003680,Limburg Süd,50.382498,8.096107
8601699,Noerreport st,55.683517,12.571863
8507492,Interlaken Ost,46.690691,7.868977
8507493,Interlaken West,46.682627,7.851439
8700011,Paris Est,48.876975,2.35912
5501629,Hegyeshalom(Gr),47.938492,17.095451
8003701,Lingen(Ems),52.519863,7.321731
8700023,Strasbourg,48.585338,7.734067
8003708,Linz(Rhein),50.569338,7.27603
8503424,Schaffhausen,47.698921,8.632898
8300682,Legnago,45.18907,11.304681
8601739,Nyborg st,55.31407,10.802921
8601745,Nykoebing F st,54.766833,11.87777
8073368,Köln Messe/Deutz Gl.11-12,50.941716,6.974065
8100001,Kufstein,47.583077,12.165551
8100002,Salzburg Hbf,47.813048,13.04582
8100003,Wien Westbahnhof,48.196914,16.337247
8100004,Wien Hbf (Autoreisezuganlage),48.176626,16.392872
8100008,St.Pölten Hbf,48.208304,15.624672
8100012,Amstetten NÖ,48.121603,14.878109
8100013,Linz Hbf,48.290177,14.292129
8100014,Wels Hbf,48.166081,14.02657
8101917,Salzburg Süd,47.770223,13.078486
8011956,Jena Paradies,50.924853,11.587464
8005321,Scharbeutz,54.018742,10.745759
8100040,Hallein,47.685167,13.099431
8100041,Golling-Abtenau,47.600579,13.164082
8100042,Bischofshofen,47.417855,13.219887
8100043,St. Johann im Pongau,47.348377,13.19496
8100044,Schwarzach-St.Veit,47.318533,13.154463
8503504,Baden(CH),47.476465,8.307408
8100049,Saalfelden,47.426853,12.829764
8100052,Hochfilzen,47.467709,12.626527
8100053,Fieberbrunn,47.491135,12.52894
8100054,St. Johann in Tirol,47.519622,12.430778
8001751,Ellwangen,48.964117,10.129683
8100057,Kirchberg in Tirol,47.448922,12.3091
8100058,Westendorf in Tirol,47.44111,12.222902
8100059,Hopfgarten im Brixental,47.455349,12.149181
8100060,Telfs-Pfaffenhofen,47.300708,11.078872
8100061,Ötztal,47.238484,10.859113
8100062,Imst-Pitztal,47.219077,10.761669
8100063,Landeck-Zams,47.148242,10.578388
8100064,St. Anton am Arlberg,47.127566,10.266993
8100065,Langen am Arlberg,47.131719,10.12037
8100067,Bludenz,47.154723,9.814566
8100070,Leoben Hbf,47.3866,15.089607
8001767,Emden Außenhafen,53.34447,7.186174
8001768,Emden Hbf,53.369038,7.195172
8001774,Emmerich(Gr),51.901261,6.137358
8100079,Krumpendorf/Wörthersee,46.626337,14.22151
8100080,Pörtschach am Wörther See,46.636198,14.146234
8100081,Velden am Wörther See,46.620053,14.044836
8005874,Timmendorferstrand,53.99421,10.762272
8100085,Klagenfurt Hbf,46.615586,14.313568
8100090,Bregenz,47.503001,9.739623
8001787,Bad Endorf,47.905061,12.301558
8100092,Spittal-Millstättersee,46.795703,13.487415
8100093,Mallnitz-Obervellach,46.981671,13.176424
8100095,Bad Gastein,47.111745,13.131999
8100097,Bad Hofgastein,47.195714,13.100941
8100098,Dorfgastein,47.238673,13.103063
8100099,Wörgl Hbf,47.4918,12.060584
8100102,Jenbach,47.388451,11.778457
8100108,Innsbruck Hbf,47.263277,11.401
8005902,Triberg,48.140003,8.236806
8100113,Seefeld in Tirol,47.328727,11.189484
8010004,Angermünde,53.015222,13.996357
8601878,Oesterport st,55.692704,12.587612
8100122,Dornbirn,47.417693,9.738805
8700188,Longueau,49.863613,2.352512
8010018,Bad Kleinen,53.766972,11.466927
8100131,Liezen,47.562707,14.241888
8100132,Stainach-Irdning,47.529195,14.106753
8010022,Bad Schandau,50.918839,14.139321
8005927,Tutzing,47.907138,11.272886
8100137,Schladming,47.393827,13.678148
8100138,Radstadt,47.384235,13.467809
8601899,Padborg st,54.824247,9.358804
8010033,Bergen auf Rügen,54.420497,13.41782
8100147,Villach Hbf,46.618624,13.848538
8001844,Erlangen,49.595896,11.001906
8100150,Selzthal,47.550239,14.31284
8010050,Bitterfeld,51.622856,12.316848
8006369,Westerland(Sylt),54.90684,8.310922
8010060,Brandenburg Hbf,52.400558,12.566137
8100173,Graz Hbf,47.072301,15.416437
8010066,Bützow,53.837115,11.99819
8010073,Cottbus,51.750952,14.324158
8010077,Dessau Hbf,51.839865,12.234948
8010085,Dresden Hbf,51.040562,13.732038
8010089,Dresden-Neustadt,51.065902,13.740704
8010093,Eberswalde Hbf,52.834018,13.797057
8700271,Forbach(F),49.189215,6.900254
8098160,Berlin Hbf (tief),52.525589,13.369548
8010097,Eisenach,50.976918,10.331985
8010101,Erfurt Hbf,50.972549,11.038501
8300919,S.Bonifacio,45.402752,11.274441
8601979,Ringsted st,55.43804,11.786152
8001920,Esslingen(Neckar),48.738811,9.300077
8010113,Frankfurt(Oder),52.33642,14.546497
8601988,Roedby,54.655718,11.357466
8003978,Meppen,52.696024,7.298018
8601996,Roedekro st,55.069689,9.332753
8602350,Soroe st,55.419019,11.568793
8012183,Leipzig/Halle Flughafen,51.42334,12.223423
8010136,Gotha,50.939074,10.71257
5603738,Kuty(Gr),48.711367,16.999905
8010139,Greifswald,54.092921,13.370258
8098205,Leipzig Hbf (tief),51.345692,12.380429
5603743,Szob(Gr),47.824896,18.84477
5603745,Sturovo,47.800121,18.679917
8602756,Vejle st,55.706359,9.536871
8006053,Vaihingen(Enz),48.948116,8.957633
8004009,Metzingen(Württ),48.539727,9.290153
8602026,Roskilde st,55.639012,12.088855
8002021,Forbach(fr),49.214089,6.94431
8010159,Halle(Saale)Hbf,51.477509,11.987088
8011849,Heilbad Heiligenstadt,51.377064,10.123849
8006076,Verden(Aller),52.920818,9.237854
7900001,Jesenice(SL),46.43635,14.053304
8300996,Bologna San Ruffillo,44.462723,11.373116
8301002,Buttapietra,45.338794,10.988135
8001995,Fischen,47.45659,10.271712
8004044,Mittenwald(Gr),47.39807,11.267439
8010193,Königs Wusterhausen,52.296634,13.631476
8010195,Köthen,51.751932,11.989353
8100309,Stadt Rottenmann,47.527227,14.367171
8098262,München Hbf Gl.5-10,48.140093,11.555372
8002007,Flensburg(Gr),54.80635,9.42554
8010203,Leinefelde,51.38875,10.329297
8010205,Leipzig Hbf,51.346546,12.383333
8700386,Calais Ville,50.953402,1.850177
5100005,Bydgoszcz Glowna,53.135111,17.99164
8010216,Ludwigslust,53.334672,11.494488
8010217,Lübben(Spreewald),51.939735,13.877178
5100010,Gdynia Glowna,54.520843,18.529554
8010220,Lübbenau(Spreewald),51.862167,13.960903
5100013,Gniezno,52.529652,17.602182
8010222,Lutherstadt Wittenberg Hbf,51.867812,12.662286
5100015,Inowroclaw,52.804947,18.244057
8010224,Magdeburg Hbf,52.130351,11.62689
8002041,Frankfurt(Main)Süd,50.099364,8.686456
5100026,Konin,52.231399,18.253333
8500309,Brugg AG,47.480851,8.208832
5100032,Kutno,52.226958,19.348615
8000001,Aachen Hbf,50.767802,6.091495
8000002,Aalen Hbf,48.841009,10.09627
8000004,Altenbeken,51.766432,8.943323
8000008,Kehl(Gr),48.575648,7.801117
8000009,Ansbach,49.29803,10.578236
8000010,Aschaffenburg Hbf,49.980554,9.143692
8000013,Augsburg Hbf,48.365444,10.885568
8000014,Aulendorf,47.953055,9.64405
8010255,Berlin Ostbahnhof,52.510972,13.434567
8010256,Nordhausen,51.492917,10.789248
8000020,Bad Hersfeld,50.869632,9.716179
8600087,Aarhus,56.150075,10.204995
5100056,Sopot,54.440165,18.56232
8000025,Bamberg,49.900757,10.899492
8000026,Basel Bad Bf,47.567292,7.607804
8004124,Müllheim(Baden),47.80974,7.599327
5100061,Tczew,54.097317,18.790151
8000031,Bensheim,49.68133,8.616717
5100065,Warszawa Centralna,52.228864,21.003233
5100066,Warszawa Wschodnia,52.251544,21.052332
5100067,Warszawa Zachodnia,52.219974,20.965244
8000036,Bielefeld Hbf,52.029258,8.532722
5100071,Zbaszynek,52.242509,15.818093
8000041,Bochum Hbf,51.478606,7.223273
8010282,Prenzlau,53.321611,13.866535
5100075,Ilawa Glowna,53.582253,19.573849
8000044,Bonn Hbf,50.732007,7.097136
8000045,Boppard Hbf,50.231416,7.586104
5100081,Poznan Gl.,52.401996,16.910866
5100082,Rzepin,52.350218,14.815076
8004147,München-Feldmoching,48.213814,11.541322
5100084,Terespol,52.074142,23.601223
8000055,Bruchsal,49.124619,8.589651
8000057,Buchloe,48.033724,10.71622
8000058,Büchen,53.474976,10.623299
8000059,Bünde(Westf),52.202076,8.573875
8004158,München-Pasing,48.149856,11.461875
8602175,Skanderborg st,56.043562,9.924495
8000064,Celle,52.621171,10.062704
8000067,Crailsheim,49.137869,10.064322
8000068,Darmstadt Hbf,49.872503,8.629635
8010309,Saalfeld(Saale),50.650313,11.374986
8000070,Delmenhorst,53.052788,8.629761
8010312,Sangerhausen,51.479892,11.294514
8000073,Singen(Hohentwiel),47.758438,8.840378
8000076,Soest,51.578422,8.104593
8000077,Donaueschingen,47.947787,8.498923
8000078,Donauwörth,48.714028,10.771441
8000079,Puttgarden(MS),54.502047,11.227904
8000080,Dortmund Hbf,51.517898,7.459293
8000082,Düsseldorf Flughafen,51.292008,6.786837
8000084,Düren,50.809512,6.482454
8000085,Düsseldorf Hbf,51.21996,6.794316
8000086,Duisburg Hbf,51.429786,6.775906
8000087,Solingen Hbf,51.160766,7.004187
8004185,Murnau,47.682264,11.19263
8000091,Steinach(b Rothenburg ob der Tauber),49.45322,10.273537
8000093,Elze(Han),52.120148,9.746895
8010334,Stendal,52.594725,11.854407
8000095,Straubing,48.876975,12.574093
8000096,Stuttgart Hbf,48.784081,9.181636
8010338,Stralsund Hbf,54.308626,13.077318
8000103,Flensburg,54.774043,9.436525
8000105,Frankfurt(Main)Hbf,50.107149,8.663785
8000107,Freiburg(Breisgau) Hbf,47.997695,7.841173
8000108,Freilassing,47.836914,12.977196
8301330,Ceggia,45.688313,12.633979
8000111,Friedberg(Hess),50.332607,8.762055
8000112,Friedrichshafen Stadt,47.65322,9.473902
8000114,Fürth(Bay)Hbf,49.469706,10.989987
8000115,Fulda,50.554722,9.68398
8000116,Traunstein,47.869725,12.638797
8000118,Gelsenkirchen Hbf,51.5049,7.102458
8000119,Geltendorf,48.105773,11.037737
8010361,Waren(Müritz),53.521513,12.680678
8000122,Treuchtlingen,48.961267,10.908158
8000124,Gießen,50.579056,8.661466
8010366,Weimar,50.99149,11.326462
8000127,Göppingen,48.700022,9.651969
8006272,Weil am Rhein,47.593972,7.608415
8000129,Treysa,50.910659,9.185672
8602254,Slagelse st,55.407548,11.348054
8000139,Günzburg,48.460334,10.278652
8000141,Tübingen Hbf,48.515807,9.055409
8000142,Hagen Hbf,51.362744,7.460246
8506000,Winterthur,47.500511,8.723482
8000147,Hamburg-Harburg,53.455909,9.991698
8000149,Hamm(Westf),51.678077,7.807823
8000150,Hanau Hbf,50.120956,8.929003
8000151,Bad Bentheim(Gr),52.309111,7.039758
8000152,Hannover Hbf,52.376763,9.741016
8000153,Weener(Gr),53.188076,7.214068
8000155,Heide(Holst),54.193564,9.101029
8000156,Heidelberg Hbf,49.403563,8.675444
8002206,Geilenkirchen,50.961034,6.124521
8000159,Helmstedt,52.222086,11.010554
8000162,Herford,52.119609,8.663641
8000163,Tuttlingen,47.98058,8.798542
8010404,Berlin-Spandau,52.53447,13.19753
8010405,Berlin Wannsee,52.421053,13.179336
8010406,Berlin Zoologischer Garten,52.507278,13.331991
8000168,Uelzen,52.969782,10.553057
8000169,Hildesheim Hbf,52.160627,9.953494
8000170,Ulm Hbf,48.399432,9.982224
8000174,Viersen,51.254946,6.403897
8000176,Homburg(Saar)Hbf,49.328081,7.337031
8000177,Horb,48.441475,8.688982
8000181,Husum,54.472275,9.055022
8000182,Immendingen,47.936002,8.729532
8000183,Ingolstadt Hbf,48.744537,11.437335
8100539,Werfen,47.472599,13.195184
8000189,Kaiserslautern Hbf,49.43614,7.768711
8012478,Leipzig Messe,51.396148,12.389274
8000191,Karlsruhe Hbf,48.993511,8.402181
8000192,Wanne-Eickel Hbf,51.531256,7.165787
8000194,Kaufbeuren,47.875433,10.629492
8004043,Mittenwald,47.440031,11.265704
8000196,Warburg(Westf),51.492953,9.163846
8000197,Kempten(Allgäu)Hbf,47.711748,10.317611
