route_id,service_id,trip_id,trip_headsign
0,0,0,Stralsund Hbf
1,0,1,Karlsruhe Hbf
2,0,2,Karlsruhe Hbf
3,0,3,Hamburg-Altona
4,0,4,Hamburg-Altona
5,1,5,Kassel-Wilhelmshöhe
6,2,6,Karlsruhe Hbf
7,3,7,Karlsruhe Hbf
8,4,8,Hamburg-Altona
9,5,9,Frankfurt(Main)Hbf
0,6,10,Stralsund Hbf
1,7,11,Karlsruhe Hbf
10,8,12,Stralsund Hbf
2,9,13,Karlsruhe Hbf
3,10,14,Hannover Hbf
11,11,15,Frankfurt(Main)Hbf
4,12,16,Kassel-Wilhelmshöhe
9,13,17,Karlsruhe Hbf
10,14,18,Stralsund Hbf
2,15,19,Karlsruhe Hbf
3,16,20,Hamburg-Altona
11,17,21,Karlsruhe Hbf
4,18,22,Hannover Hbf
12,19,23,Frankfurt(Main)Hbf
7,20,24,Karlsruhe Hbf
8,21,25,Hamburg-Altona
10,21,26,Stralsund Hbf
3,21,27,Hamburg-Altona
4,21,28,Kassel-Wilhelmshöhe
0,22,29,Stralsund Hbf
1,22,30,Karlsruhe Hbf
2,22,31,Karlsruhe Hbf
3,22,32,Hamburg-Altona
4,22,33,Hamburg-Altona
12,22,34,Frankfurt(Main)Hbf
13,22,35,Kassel-Wilhelmshöhe
8,23,36,Hamburg-Altona
0,24,37,Stralsund Hbf
0,25,38,Stralsund Hbf
8,26,39,Hamburg-Altona
11,27,40,Frankfurt(Main)Hbf
4,28,41,Hamburg-Altona
13,29,42,Kassel-Wilhelmshöhe
3,30,43,Hamburg-Altona
0,31,44,Rostock Hbf
10,31,45,Schwerin Hbf
8,32,46,Hamburg-Altona
9,32,47,Karlsruhe Hbf
0,32,48,Hamburg Hbf
1,32,49,Karlsruhe Hbf
10,33,50,Hamburg Hbf
2,33,51,Karlsruhe Hbf
11,33,52,Frankfurt(Main)Hbf
0,34,53,Schwerin Hbf
1,34,54,Karlsruhe Hbf
12,34,55,Frankfurt(Main)Hbf
8,35,56,Hamburg-Altona
9,35,57,Frankfurt(Main)Hbf
2,36,58,Karlsruhe Hbf
11,35,59,Frankfurt(Main)Hbf
2,37,60,Karlsruhe Hbf
8,38,61,Hamburg-Altona
9,38,62,Karlsruhe Hbf
1,38,63,Karlsruhe Hbf
2,39,64,Karlsruhe Hbf
11,38,65,Frankfurt(Main)Hbf
